kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
10811496,FALSE POSITIVE,19.89913995,175.850252,1.7822,10829.0,14.6,638.0
10848459,FALSE POSITIVE,1.736952453,170.307565,2.40641,8079.2,33.46,1395.0
10854555,CONFIRMED,2.525591777,171.59555,1.6545,603.3,2.75,1406.0
10872983,CONFIRMED,11.09432054,171.20116,4.5945,1517.5,3.9,835.0
10872983,CONFIRMED,4.13443512,172.97937,3.1402,686.0,2.77,1160.0
9579641,CANDIDATE,3.43591631,132.6624,3.133,23.2,0.55,1272.0
10872983,CONFIRMED,2.56658897,179.55437,2.429,226.5,1.59,1360.0
5436502,CONFIRMED,23.65369415,171.376107,8.2183,3341.8,7.89,731.0
5436502,CONFIRMED,13.23352214,140.32196,6.7372,504.6,3.06,888.0
5436502,CONFIRMED,6.15560285,134.81656,4.9843,285.0,2.32,1146.0
5436502,CONFIRMED,2.090811305,134.17462,3.388,115.9,1.62,1642.0
5436502,CONFIRMED,50.4467417,178.5014,7.159,370.3,2.67,568.0
9471974,CONFIRMED,49.18394185,141.911924,11.3364,1646.2,8.2,669.0
5456651,CONFIRMED,11.76307164,180.93613,2.9076,1037.3,2.35,616.0
7907423,CONFIRMED,15.36845737,147.38965,2.4714,756.1,1.11,332.0
7938496,CONFIRMED,13.81020318,172.33533,3.048,1309.7,4.56,833.0
8013419,CANDIDATE,12.732624065,176.939054,2.2083,6465.7,4.87,432.0
8018547,CANDIDATE,83.92494032,236.76334,6.7904,7958.7,4.78,226.0
8039892,CONFIRMED,5.007316661,173.433997,4.2362,6932.3,6.96,998.0
5897826,FALSE POSITIVE,33.80364366,202.259731,11.4813,13494.4,20.7,745.0
8150320,CONFIRMED,2.211116989,170.150139,1.6485,724.2,1.85,931.0
8561063,CONFIRMED,0.453287416,133.869741,0.4445,1461.5,0.76,729.0
8561063,CONFIRMED,1.865114193,133.792344,0.4279,1124.8,0.66,455.0
10657664,FALSE POSITIVE,3.273699006,171.2385098,3.07626,6862.8,22.36,3060.0
3337351,FALSE POSITIVE,7.047103499,175.03337,3.3208,71318.0,51.86,955.0
3233043,FALSE POSITIVE,0.379463865,170.2480164,0.86896,1973.3,59.56,3000.0
6579806,FALSE POSITIVE,9.88047978,173.608672,2.78458,18541.0,23.6,860.0
3560301,FALSE POSITIVE,4.6484156,261.09395,38.1939,128.4,5.06,2259.0
5880320,CONFIRMED,4.75796103,137.69636,4.66,124.5,1.7,1372.0
5880320,CONFIRMED,20.4972755,147.43894,8.536,242.9,2.96,843.0
5880320,CONFIRMED,8.19345065,138.99617,5.234,115.4,1.74,1144.0
6037187,CONFIRMED,41.8059544,142.81919,6.057,434.4,2.02,533.0
6147122,FALSE POSITIVE,15.45158184,142.21096,2.406,85.3,2.02,1285.0
8257407,FALSE POSITIVE,89.698168533,176.3060152,5.5418,273106.0,102.08,554.0
4649305,CANDIDATE,22.65117451,140.337593,3.6895,2250.0,7.62,855.0
6307521,FALSE POSITIVE,475.91706,588.8926,22.86,967.3,28.22,221.0
6359320,CONFIRMED,5.32667299,357.12617,3.4045,611.4,2.26,1007.0
6359320,CONFIRMED,8.1280933,358.68367,3.727,224.1,1.39,875.0
3835670,CONFIRMED,14.55730897,145.095012,7.7643,956.9,4.32,879.0
6359320,CANDIDATE,2.83668931,353.81531,3.031,166.1,1.19,1242.0
6362874,CONFIRMED,0.974868896,133.076265,1.6191,197.6,1.16,1612.0
6272413,CONFIRMED,4.89721006,133.39852,1.812,274.4,1.48,904.0
3556220,FALSE POSITIVE,0.796722833,133.07985,2.4551,107.1,1.44,2401.0
3660924,CONFIRMED,4.24153629,133.45522,2.971,188.1,1.44,1177.0
